"est";"id";"scientificName";"names_wo_author"
"MG";342;"Balfourodendron molle (Miq.) Pirani";"Balfourodendron molle"
"MG";343;"Balfourodendron riedelianum (Engl.) Engl.";"Balfourodendron riedelianum"
"MG";401;"Citrus reticulata Blanco";"Citrus reticulata"
"MG";409;"Citrus ×aurantium L.";"Citrus ×aurantium"
"MG";414;"Citrus ×limon (L.) Osbeck";"Citrus ×limon"
"MG";542;"Dictyoloma vandellianum A.Juss.";"Dictyoloma vandellianum"
"MG";573;"Esenbeckia almawillia Kaastra";"Esenbeckia almawillia"
"MG";580;"Esenbeckia decidua Pirani";"Esenbeckia decidua"
"MG";583;"Esenbeckia febrifuga (A.St.-Hil.) A. Juss. ex Mart.";"Esenbeckia febrifuga"
"MG";589;"Esenbeckia grandiflora Mart.";"Esenbeckia grandiflora"
"MG";591;"Esenbeckia grandiflora Mart. subsp. grandiflora";"Esenbeckia grandiflora"
"MG";592;"Esenbeckia grandiflora Mart. var. grandiflora";"Esenbeckia grandiflora"
"MG";601;"Esenbeckia leiocarpa Engl.";"Esenbeckia leiocarpa"
"MG";607;"Esenbeckia pilocarpoides Kunth";"Esenbeckia pilocarpoides"
"MG";611;"Esenbeckia pumila Pohl";"Esenbeckia pumila"
"MG";733;"Galipea ciliata Taub.";"Galipea ciliata"
"MG";746;"Galipea jasminiflora (A.St.-Hil.) Engl.";"Galipea jasminiflora"
"MG";774;"Helietta apiculata Benth.";"Helietta apiculata"
"MG";777;"Helietta glaziovii (Engl.) Pirani";"Helietta glaziovii"
"MG";786;"Hortia brasiliana Vand. ex DC.";"Hortia brasiliana"
"MG";819;"Metrodorea nigra A.St.-Hil.";"Metrodorea nigra"
"MG";823;"Metrodorea stipularis Mart.";"Metrodorea stipularis"
"MG";847;"Neoraputia alba (Nees & Mart.) Emmerich ex Kallunki";"Neoraputia alba"
"MG";873;"Pilocarpus giganteus Engl.";"Pilocarpus giganteus"
"MG";888;"Pilocarpus pennatifolius Lem.";"Pilocarpus pennatifolius"
"MG";890;"Pilocarpus pennatifolius Lem. var. pennatifolius";"Pilocarpus pennatifolius"
"MG";898;"Pilocarpus spicatus A.St.-Hil.";"Pilocarpus spicatus"
"MG";903;"Pilocarpus spicatus A.St.-Hil. subsp. spicatus";"Pilocarpus spicatus"
"MG";904;"Pilocarpus spicatus A.St.-Hil. var. spicatus";"Pilocarpus spicatus"
"MG";907;"Pilocarpus sulcatus Skorupa";"Pilocarpus sulcatus"
"MG";908;"Pilocarpus trachylophus Holmes";"Pilocarpus trachylophus"
"MG";953;"Rauia resinosa Nees & Mart.";"Rauia resinosa"
"MG";1068;"Zanthoxylum acuminatum (Sw.) Sw.";"Zanthoxylum acuminatum"
"MG";1070;"Zanthoxylum acuminatum subsp. juniperinum (Poepp.) Reynel";"Zanthoxylum acuminatum"
"MG";1083;"Zanthoxylum caribaeum subsp. rugosum (A.St.-Hil. & Tul.) Reynel";"Zanthoxylum caribaeum"
"MG";1104;"Zanthoxylum fagara (L.) Sarg.";"Zanthoxylum fagara"
"MG";1108;"Zanthoxylum fagara subsp. lentiscifolium (Humb. & Bonpl. ex Willd.) Reynel";"Zanthoxylum fagara"
"MG";1133;"Zanthoxylum monogynum A.St.-Hil.";"Zanthoxylum monogynum"
"MG";1135;"Zanthoxylum monogynum A.St.-Hil. subsp. monogynum";"Zanthoxylum monogynum"
"MG";1139;"Zanthoxylum nemorale Mart.";"Zanthoxylum nemorale"
"MG";1152;"Zanthoxylum petiolare A.St.-Hil. & Tul.";"Zanthoxylum petiolare"
"MG";1162;"Zanthoxylum rhoifolium Lam.";"Zanthoxylum rhoifolium"
"MG";1169;"Zanthoxylum riedelianum Engl.";"Zanthoxylum riedelianum"
"MG";1173;"Zanthoxylum riedelianum Engl. subsp. riedelianum";"Zanthoxylum riedelianum"
"MG";1174;"Zanthoxylum rigidum Humb. & Bonpl. ex Willd.";"Zanthoxylum rigidum"
"MG";1175;"Zanthoxylum rigidum subsp. hasslerianum (Chodat) Reynel";"Zanthoxylum rigidum"
"MG";1182;"Zanthoxylum stelligerum Turcz.";"Zanthoxylum stelligerum"
"MG";1186;"Zanthoxylum tingoassuiba A.St.-Hil.";"Zanthoxylum tingoassuiba"
"MG";1301;"Picrasma crenata (Vell.) Engl.";"Picrasma crenata"
"MG";1342;"Simaba ferruginea A.St.-Hil.";"Simaba ferruginea"
"MG";1343;"Simaba ferruginea var. blanchetii (Turcz.) Engl.";"Simaba ferruginea"
"MG";1381;"Simarouba amara Aubl.";"Simarouba amara"
"MG";1394;"Simarouba versicolor A.St.-Hil.";"Simarouba versicolor"
"MG";1409;"Zwingera trichilioides (A.St.-Hil.) Spreng.";"Zwingera trichilioides"
"MG";1430;"Brasiliopuntia brasiliensis (Willd.) A.Berger";"Brasiliopuntia brasiliensis"
"MG";1444;"Cereus hildmannianus K.Schum.";"Cereus hildmannianus"
"MG";1445;"Cereus hildmannianus K.Schum. subsp. hildmannianus";"Cereus hildmannianus"
"MG";1447;"Cereus jamacaru DC.";"Cereus jamacaru"
"MG";1449;"Cereus jamacaru DC. subsp. jamacaru";"Cereus jamacaru"
"MG";1479;"Coleocephalocereus goebelianus (Vaupel) Buining";"Coleocephalocereus goebelianus"
"MG";1517;"Facheiroa cephaliomelana Buining & Brederoo";"Facheiroa cephaliomelana"
"MG";1573;"Melocactus glaucescens Buining & Brederoo";"Melocactus glaucescens"
"MG";1580;"Melocactus oreas subsp. cremnophilus (Buining & Brederoo) P.J.Braun";"Melocactus oreas"
"MG";1583;"Melocactus pachyacanthus Buining & Brederoo subsp. pachyacanthus";"Melocactus pachyacanthus"
"MG";1589;"Melocactus schulzianus Buining & Brederoo";"Melocactus schulzianus"
"MG";1591;"Melocactus violaceus Pfeiff.";"Melocactus violaceus"
"MG";1592;"Melocactus violaceus subsp. margaritaceus N.P.Taylor";"Melocactus violaceus"
"MG";1601;"Micranthocereus flaviflorus Buining & Brederoo";"Micranthocereus flaviflorus"
"MG";1607;"Micranthocereus violaciflorus Buining";"Micranthocereus violaciflorus"
"MG";1636;"Pereskia grandifolia Haw.";"Pereskia grandifolia"
"MG";1648;"Pilosocereus azulensis N.P.Taylor & Zappi";"Pilosocereus azulensis"
"MG";1668;"Pilosocereus pachycladus F.Ritter";"Pilosocereus pachycladus"
"MG";1669;"Pilosocereus pachycladus F.Ritter subsp. pachycladus";"Pilosocereus pachycladus"
"MG";1733;"Rhipsalis sulcata F.A.C.Weber";"Rhipsalis sulcata"
